Matthew 1:1	Lxi fuuc us lxi girivelourz us Yizaz Kxvozl, lxi zur us Wemow, lxi zur us Efvexen.
Luke 7:29	(Erw epp lxi qiuqpi, erw lxi leb-sevnivz, lu hxun Yuxr xew gomir feqlozn, hxir lxij xew cruhpiwgi us lxizi lxorgz, gemi gpuvj lu Guw.
Luke 7:30	Fal lxi Qxevoziiz erw lxi liekxivz us lxi peh hivi egeorzl lxi qavquzi us Guw suv lxinzipmiz, rul xemorg xew xoz feqlozn.)
Luke 7:31	Hxel kunqevozur en O lu neci us lxi nir us lxoz girivelour? hxel evi lxij poci?
Luke 7:32	Lxij evi poci kxopwvir hxu evi zieliw or lxi nevcil-qpeki, kvjorg ual lu uri erulxiv, erw zejorg, Hi newi nazok suv jua, fal jua wow rul leci qevl or lxi werki; hi gemi kvoiz us zuvvuh, fal jua hivi rul zew.
Luke 7:33	Suv Yuxr lxi Feqlozl keni, lecorg ru suuw uv wvorc, erw jua zej, Xi xez er imop zqovol.
Luke 7:34	Lxi Zur us ner keni siezlorg, erw jua zej, Xivi oz e pumiv us suuw erw hori, e svoirw us leb-sevnivz erw zorrivz.
Luke 7:35	Fal hozwun oz yawgiw lu fi vogxl fj epp xiv kxopwvir.
Luke 7:36	Erw uri us lxi Qxevoziiz newi e vitaizl lxel xi huapw leci e niep holx xon. Erw xi hirl orlu lxi Qxevozii'z xuazi erw luuc xoz ziel el lxi lefpi.
Luke 7:37	Erw lxivi hez e huner or lxi luhr hxu hez e zorriv; erw hxir zxi xew rihz lxel xi hez e gaizl or lxi Qxevozii'z xuazi, zxi luuc e fullpi us qivsani,
Luke 7:38	Erw hirl or erw luuc xiv qpeki el lxi fekc us xon, riev xoz siil, hiiqorg, zu lxel xoz siil hivi hezxiw holx lxi wvuqz svun xiv ijiz, erw holx xiv xeov zxi newi lxin wvj, erw cozzorg xoz siil zxi qal lxi qivsani ur lxin.
Luke 7:39	Ruh hxir lxi Qxevozii or hxuzi xuazi xi hez zeh ol, xi zeow lu xonzips, Lxoz ner, os xi hez e qvuqxil, huapw fi kurzkouaz hxel zuvl us huner lxoz oz hxu xez qal xiv xerwz ur xon, lxel zxi oz e zorriv.
Luke 7:40	Erw Yizaz, erzhivorg, zeow, Zonur, O xemi zunilxorg lu zej lu jua. Erw xi zeow, Nezliv, zej ur.
Luke 7:41	Erw xi zeow, Lhu nir hivi or wifl lu e kivleor ner us fazorizz: uri xew e wifl us somi xarwviw qirki, erw lxi ulxiv us soslj.
Luke 7:42	Hxir lxij hivi arefpi lu neci qejnirl, xi newi lxi lhu us lxin svii us lxiov wiflz. Hxokx us lxin, ruh, hopp xemi lxi gvieliv pumi suv xon?
Luke 7:43	Zonur, or erzhiv, zeow, Ol ziinz xi hxuzi wifl hez gvieliv. Erw xi zeow, Juav wikozour oz vogxl.
Luke 7:44	Erw lavrorg lu lxi huner xi zeow lu Zonur, Jua zii lxoz huner? O keni orlu juav xuazi; jua wow rul gomi ni heliv suv nj siil: fal zxi xez fiir hezxorg nj siil holx lxi wvuqz svun xiv ijiz, erw wvjorg lxin holx xiv xeov.
Luke 7:45	Jua wow rul gomi ni e cozz: fal zxi, svun lxi loni hxir O keni or, xez guri ur cozzorg nj siil.
Luke 7:46	Jua qal ru uop ur nj xiew: fal zxi xez qal qivsani ur nj siil.
Luke 7:47	Erw zu O zej lu jua, Zxi hopp xemi suvgomirizz suv xiv zorz hxokx evi gviel or ranfiv, fikeazi us xiv gviel pumi: fal xi hxu xez znepp riiw us suvgomirizz gomiz pollpi pumi.
Luke 7:48	Erw xi zeow lu xiv, Jua xemi suvgomirizz suv juav zorz.
Luke 7:49	Erw lxuzi hxu hivi zieliw el lefpi holx xon zeow lu lxinzipmiz, Hxu oz lxoz hxu imir gomiz suvgomirizz us zorz?
Luke 7:50	Erw xi zeow lu lxi huner, Fj juav seolx jua xemi zepmelour; gu or qieki.
Luke 8:1	Erw ol keni efual, esliv e zxuvl loni, lxel xi hirl lxvuagx luhr erw kuarlvj gomorg lxi guuw rihz us lxi corgwun us Guw, erw holx xon hivi lxi lhipmi,
Luke 8:2	Erw kivleor hunir hxu xew fiir newi svii svun imop zqovolz erw wozieziz, Nevj reniw Negwepiri, svun hxun zimir imop zqovolz xew guri ual,
Luke 8:3	Erw Yuerre, lxi hosi us Kxade, Xivuw'z kxois xuazi-zivmerl, erw Zazerre erw e ranfiv us ulxivz, hxu gemi xon us lxiov hieplx suv xoz riiwz.
Luke 8:4	Erw hxir e gviel ranfiv us qiuqpi keni lugilxiv, erw nir svun imivj luhr hirl ual lu xon, xi gemi lxin liekxorg or lxi suvn us e zluvj:
Luke 8:5	E ner hirl ual lu qal or ziiw, erw hxopi xi hez wuorg ol, zuni hez wvuqqiw fj lxi hejzowi erw ol hez kvazxiw arwiv suul, erw hez lecir fj lxi fovwz us xiemir.
Luke 8:6	Erw zuni hirl ur lxi vukc, erw hxir ol keni aq ol fikeni wvj erw wiew fikeazi ol xew ru heliv.
Luke 8:7	Erw zuni hirl enurg lxuvrz, erw lxi lxuvrz keni aq holx ol erw ol xew ru vuun suv gvuhlx.
Luke 8:8	Erw zuni sepporg ur guuw ievlx, keni aq erw gemi svaol e xarwviw loniz ez nakx. Erw holx lxizi huvwz xi zeow or e puaw muoki, Xi hxu xez ievz, pil xon gomi iev.
Luke 8:9	Erw xoz wozkoqpiz qal taizlourz lu xon efual lxi quorl us lxi zluvj.
Luke 8:10	Erw xi zeow, Lu jua oz gomir cruhpiwgi us lxi zikvilz us lxi corgwun us Guw; fal lu lxi ulxivz, lxij evi gomir or zluvoiz, zu lxel ziiorg, lxij nej rul zii, erw lxuagx lxij gomi xievorg, lxi zirzi hopp rul fi kpiev lu lxin.
Luke 8:11	Ruh lxoz oz lxi quorl us lxi zluvj: Lxi ziiw oz lxi huvw us Guw.
Luke 8:12	Lxuzi fj lxi zowi us lxi vuew evi lxuzi hxu xemi gomir xievorg; lxir lxi Imop Uri kuniz erw leciz ehej lxi huvw svun lxiov xievlz, zu lxel lxij nej rul xemi seolx erw gil zepmelour.
Luke 8:13	Erw lxuzi ur lxi vukc evi lxuzi hxu holx yuj gomi xievorg lu lxi huvw; fal xemorg ru vuul, lxij xemi seolx suv e loni, erw hxir lxi lizl kuniz lxij gomi aq.
Luke 8:14	Erw lxuzi hxokx hirl enurg lxuvrz evi lxuzi hxu xemi gomir xievorg, erw gu ur lxiov hej, fal lxij evi umivkuni fj keviz erw hieplx erw lxi qpiezaviz us posi, erw lxij gomi ru svaol.
Luke 8:15	Erw lxuzi or lxi guuw ievlx evi lxuzi hxu, xemorg gomir iev lu lxi huvw, ciiq ol holx e guuw erw lvai xievl, erw or taoil zlvirglx gomi svaol.
Luke 8:16	Ru ner, hxir lxi pogxl oz pogxliw, qalz e kumiv umiv ol, uv qalz ol arwiv e fiw, fal xi qalz ol ur olz lefpi, zu lxel lxuzi hxu kuni or nej zii lxi pogxl.
Luke 8:17	Suv rulxorg oz qal ual us moih hxokx hopp rul fi newi kpiev, erw rulxorg oz zikvil us hxokx lxi cruhpiwgi hopp rul kuni lu pogxl.
Luke 8:18	Zu leci kevi xuh jua gomi xievorg, suv lu xon hxu xez hopp fi gomir, erw svun xon hxu xez rul hopp fi lecir imir hxel xi ziinz lu xemi.
Luke 8:19	Erw xoz nulxiv erw xoz fvulxivz keni lu xon, erw lxij hivi rul efpi lu gil riev xon fikeazi us lxi gviel ranfiv us qiuqpi.
Luke 8:20	Erw zuniuri zeow lu xon, Juav nulxiv erw juav fvulxivz evi ualzowi wizovorg lu zii jua.
Luke 8:21	Fal xi zeow lu lxin or erzhiv, Nj nulxiv erw nj fvulxivz evi lxuzi hxu xemi cruhpiwgi us lxi huvw us Guw erw wu ol.
Luke 8:22	Ruh ol keni efual ur uri us lxuzi wejz lxel xi gul orlu e fuel holx xoz wozkoqpiz; erw xi zeow lu lxin, Pil az gu umiv lu lxi ulxiv zowi us lxi heliv: erw lxij qal ual lxi fuel.
Luke 8:23	Fal hxopi lxij hivi zeoporg xi hirl lu zpiiq: erw e zluvn us horw keni wuhr ur lxi zie, erw lxi fuel fikeni sapp us heliv erw lxij hivi or wergiv.
Luke 8:24	Lxir lxij keni lu xon erw, ehecorg xon ual us xoz zpiiq, zeow, Nezliv, Nezliv, wizlvaklour oz riev. Erw xi, hxir xi hez eheci, gemi uvwivz lu lxi horw erw lxi vupporg hemiz, erw lxi zluvn keni lu er irw, erw epp hez kepn.
Luke 8:25	Erw xi zeow lu lxin, Hxivi oz juav seolx? Erw siev erw hurwiv umivkeni lxin, erw lxij zeow lu uri erulxiv, Hxu lxir oz lxoz, hxu gomiz uvwivz imir lu lxi horwz erw lxi heliv erw lxij wu hxel xi zejz?
Luke 8:26	Erw lxij keni lu lxi kuarlvj us lxi Giveziriz, hxokx oz uqquzoli Gepopii.
Luke 8:27	Erw hxir xi xew kuni lu lxi perw, lxivi keni lu xon e kivleor ner svun lxi luhr hxu xew imop zqovolz; erw suv e purg loni xi xew xew ru kpulxorg ur, erw hez rul pomorg or e xuazi fal or lxi qpeki us lxi wiew.
Luke 8:28	Erw hxir xi zeh Yizaz, xi gemi e puaw kvj erw hirl wuhr ur lxi ievlx fisuvi xon erw or e puaw muoki zeow, Hxel xemi O lu wu holx jua, Yizaz, Zur us lxi Nuzl Xogx Guw? Wu rul fi kvaip lu ni.
Luke 8:29	Suv xi gemi er uvwiv lu lxi imop zqovol lu kuni ual us lxi ner. Suv svitairlpj ol huapw leci e gvoq us xon: erw xi hez ciql arwiv kurlvup, erw qvozuriw holx kxeorz; fal qevlorg lxi kxeorz or lhu, xi huapw fi zirl fj lxi wvomorg us lxi imop zqovol orlu hezli qpekiz.
Luke 8:30	Erw Yizaz zeow lu xon, Hxel oz juav reni? Erw xi zeow, Pigour; suv e ranfiv us zqovolz xew guri orlu xon.
Luke 8:31	Erw lxij newi e vitaizl lu xon lxel xi huapw rul gomi lxin er uvwiv lu gu ehej orlu lxi wiiq.
Luke 8:32	Ruh lxivi hez e gviel xivw us qogz or lxel qpeki, gillorg suuw ur lxi nuarleor: erw lxi imop zqovolz newi e vitaizl lu xon lxel xi huapw pil lxin gu orlu lxi qogz, erw xi pil lxin.
Luke 8:33	Erw lxi imop zqovolz keni ual us lxi ner erw hirl orlu lxi qogz: erw lxi xivw hirl vazxorg wuhr e zxevq zpuqi orlu lxi heliv erw keni lu wizlvaklour.
Luke 8:34	Erw hxir lxi nir hxu luuc kevi us lxin zeh hxel xew kuni efual, lxij hirl taokcpj erw gemi rihz us ol or lxi luhr erw lxi kuarlvj.
Luke 8:35	Erw lxij hirl ual lu zii hxel xew lecir qpeki, erw lxij keni lu Yizaz erw zeh lxi ner ual us hxun lxi imop zqovolz xew guri, zieliw, kpulxiw erw holx sapp azi us xoz zirziz, el lxi siil us Yizaz; erw siev keni ur lxin.
Luke 8:36	Erw lxuzi hxu xew ziir ol gemi lxin er ekkuarl us xuh lxi ner hxu xew lxi imop zqovolz hez newi hipp.
Luke 8:37	Erw epp lxi qiuqpi us lxi kuarlvj us lxi Giveziriz newi e vitaizl lu xon lu gu ehej svun lxin; suv lxij hivi or gviel siev: erw xi gul orlu e fuel erw hirl fekc.
Luke 8:38	Fal lxi ner svun hxun lxi imop zqovolz xew guri ual xew e gviel wizovi lu fi holx xon, fal xi zirl xon ehej, zejorg,
Luke 8:39	Gu fekc lu juav xuazi erw pil lxin xemi rihz us epp lxi gviel lxorgz hxokx Guw xez wuri suv jua. Erw xi hirl ehej, gomorg huvw lxvuagx epp lxi luhr us lxi gviel lxorgz hxokx Yizaz xew wuri suv xon.
Luke 8:40	Erw hxir Yizaz hirl fekc, lxi qiuqpi hivi gpew lu zii xon, suv lxij hivi epp heolorg suv xon.
Luke 8:41	Lxir lxivi keni e ner reniw Yeovaz, hxu hez e vapiv or lxi Zjregugai: erw xi hirl wuhr el lxi siil us Yizaz, wizovorg xon lu kuni lu xoz xuazi;
Luke 8:42	Suv xi xew er urpj weagxliv, efual lhipmi jievz upw, erw zxi hez riev lu wielx. Fal hxopi xi hez ur xoz hej, lxi qiuqpi hivi qazxorg lu fi riev xon.
Luke 8:43	Erw e huner, hxu xew xew e spuh us fpuuw suv lhipmi jievz, erw xew gomir epp xiv nurij lu niwokep nir, erw rul uri us lxin hez efpi lu neci xiv hipp,
Luke 8:44	Keni esliv xon erw qal xiv xerw ur lxi iwgi us xoz vufi, erw zlveogxl ehej lxi spuhorg us xiv fpuuw hez zluqqiw.
Luke 8:45	Erw Yizaz zeow, Hxu hez luakxorg ni? Erw hxir lxij epp zeow, Ol oz rul O, Qiliv erw lxuzi hxu hivi holx xon zeow, Nezliv, lxi qiuqpi evi qazxorg vuarw jua ur imivj zowi.
Luke 8:46	Fal Yizaz zeow, Zuniuri hez luakxorg ni, suv O xew lxi siiporg lxel quhiv xew guri ual svun ni.
Luke 8:47	Erw hxir lxi huner zeh lxel zxi hez rul efpi lu ciiq ol zikvil, zxi keni, zxecorg holx siev, erw sepporg wuhr fisuvi xon zxi newi kpiev fisuvi epp lxi qiuqpi lxi viezur suv xiv luakxorg xon, erw xuh zxi hez newi hipp zlveogxl ehej.
Luke 8:48	Erw xi zeow lu xiv, Weagxliv, juav seolx xez newi jua hipp; gu or qieki.
Luke 8:49	Hxopi xi hez zlopp lepcorg, zuniuri keni svun lxi xuazi us lxi vapiv us lxi Zjregugai, zejorg, Juav weagxliv oz wiew; wu rul gu ur lvuafporg lxi Nezliv.
Luke 8:50	Fal Yizaz el lxizi huvwz zeow lu xon, Xemi ru siev, urpj xemi seolx, erw zxi hopp fi newi hipp.
Luke 8:51	Erw hxir xi keni lu lxi xuazi xi wow rul pil erj ner gu or holx xon, fal urpj Qiliv erw Yuxr erw Yeniz, erw lxi selxiv us lxi govp erw xiv nulxiv.
Luke 8:52	Erw epp lxi qiuqpi hivi hiiqorg erw kvjorg suv xiv; fal xi zeow, Wu rul fi zew, suv zxi oz rul wiew, fal zpiiqorg.
Luke 8:53	Erw lxij hivi peagxorg el xon, fiorg kivleor lxel zxi hez wiew.
Luke 8:54	Fal xi, lecorg xiv xerw, zeow lu xiv, Nj kxopw, gil aq.
Luke 8:55	Erw xiv zqovol keni fekc lu xiv erw zxi gul aq zlveogxl ehej: erw xi gemi uvwivz lxel suuw hez lu fi gomir lu xiv.
Luke 8:56	Erw xiv selxiv erw nulxiv hivi sapp us hurwiv, fal xi gemi uvwivz lu lxin lu zej rulxorg efual ol lu erjuri.
Luke 9:1	Erw gillorg lxi lhipmi lugilxiv, xi gemi lxin quhiv erw ealxuvolj umiv epp imop zqovolz erw umiv wozieziz, lu neci lxin hipp.
Luke 9:2	Erw xi zirl lxin ual lu fi qviekxivz us lxi corgwun us Guw, erw lu neci hipp lxuzi hxu hivi opp.
Luke 9:3	Erw xi zeow lu lxin, Leci rulxorg suv juav yuavrij, ru zlokc uv feg uv fview uv nurij, erw wu rul leci lhu kuelz.
Luke 9:4	Erw os jua gu orlu e xuazi, pil lxel xuazi fi juav vizlorg-qpeki lopp jua gu ehej.
Luke 9:5	Erw os erj qiuqpi hopp rul leci jua or, hxir jua gu ehej svun lxel luhr, qal uss olz wazl svun juav siil suv e holrizz egeorzl lxin.
Luke 9:6	Erw lxij hirl ehej, yuavrijorg lxvuagx epp lxi luhrz, qviekxorg lxi guuw rihz erw necorg qiuqpi svii svun wozieziz or epp qpekiz.
Luke 9:7	Ruh Xivuw lxi corg xew rihz us epp lxizi lxorgz: erw xi hez or wuafl, fikeazi ol hez zeow fj zuni qiuqpi lxel Yuxr xew kuni fekc svun lxi wiew;
Luke 9:8	Erw fj zuni, lxel Ipoyex xew kuni; erw fj ulxivz, lxel uri us lxi upw qvuqxilz xew kuni fekc lu posi.
Luke 9:9	Erw Xivuw zeow, O qal Yuxr lu wielx: fal hxu oz lxoz, us hxun zakx zluvoiz evi gomir lu ni? Erw xi xew e wizovi lu zii xon.
Luke 9:10	Erw lxi lhipmi, hxir lxij keni fekc, gemi xon er ekkuarl us hxel lxij xew wuri. Erw xi luuc lxin holx xon erw hirl ehej svun lxi qiuqpi lu e luhr reniw Filx-zeowe.
Luke 9:11	Fal lxi qiuqpi, gillorg rihz us ol, hirl esliv xon: erw xi hez qpieziw lu zii lxin, erw gemi lxin liekxorg efual lxi corgwun us Guw, erw newi lxuzi hipp hxu hivi or riiw us ol.
Luke 9:12	Erw lxi wej hirl ur; erw lxi lhipmi keni lu xon erw zeow, Zirw lxizi qiuqpi ehej zu lxel lxij nej gu orlu lxi luhrz erw lxi kuarlvj vuarw efual erw gil vizlorg-qpekiz erw suuw suv lxinzipmiz, suv hi evi or e hezli qpeki.
Luke 9:13	Fal xi zeow, Gomi lxin suuw juavzipmiz. Erw lxij zeow, Hi xemi urpj somi keciz us fview erw lhu sozxiz, os hi wu rul gu erw gil suuw suv epp lxizi qiuqpi.
Luke 9:14	Suv lxivi hivi efual somi lxuazerw nir. Erw xi zeow lu xoz wozkoqpiz, Neci lxin fi zieliw or gvuaqz, efual soslj lu e gvuaq.
Luke 9:15	Erw lxij wow zu, erw newi lxin epp fi zieliw.
Luke 9:16	Erw xi luuc lxi somi keciz us fview erw lxi lhu sozxiz erw, puucorg aq lu xiemir, xi zeow huvwz us fpizzorg umiv lxin, erw hxir lxij xew fiir fvucir, xi gemi lxin lu lxi wozkoqpiz lu gomi lu lxi qiuqpi.
Luke 9:17	Erw lxij epp luuc lxi suuw erw xew iruagx; erw lxij luuc aq us lxi fvucir folz hxokx hivi umiv, lhipmi fezcilz sapp.
Luke 9:18	Erw ol keni efual lxel hxir xi hez or qvejiv, fj xonzips, erw lxi wozkoqpiz hivi holx xon, xi qal e taizlour lu lxin, zejorg, Hxu wu lxi qiuqpi zej O en?
Luke 9:19	Erw lxij, erzhivorg, zeow, Yuxr lxi Feqlozl; fal ulxivz zej Ipoyex; erw ulxivz, lxel uri us lxi upw qvuqxilz xez kuni fekc.
Luke 9:20	Erw xi zeow, Fal hxu wu jua zej lxel O en? Erw Qiliv, erzhivorg, zeow, Lxi Kxvozl us Guw.
Luke 9:21	Fal xi gemi lxin zqikoep uvwivz, rul lu zej lxoz lu erj ner;
Luke 9:22	Zejorg, Lxi Zur us ner hopp arwivgu nakx erw fi qal ur uri zowi fj lxi vapivz erw lxi kxois qvoizlz erw lxi liekxivz us lxi peh, erw fi qal lu wielx, erw ur lxi lxovw wej xi hopp kuni fekc lu posi.
Luke 9:23	Erw xi zeow lu lxin epp, Os erj ner xez e wizovi lu kuni esliv ni, pil xon gomi aq epp, erw leci aq xoz kvuzz imivj wej, erw kuni esliv ni.
Luke 9:24	Suv hxuimiv xez e wizovi lu ciiq xoz posi hopp xemi ol lecir svun xon, fal hxuimiv gomiz aq xoz posi fikeazi us ni, hopp ciiq ol.
Luke 9:25	Suv hxel qvusol hopp e ner xemi os xi gilz epp lxi huvpw, fal arwivguiz puzz uv wizlvaklour xonzips?
Luke 9:26	Suv os erj ner xez e siiporg us zxeni fikeazi us ni uv us nj huvwz, lxi Zur us ner hopp xemi zxeni fikeazi us xon hxir xi kuniz or xoz gpuvj erw lxi gpuvj us lxi Selxiv erw us lxi xupj ergipz.
Luke 9:27	Fal lvapj O zej lu jua, Zuni us lxuzi hxu evi xivi ruh hopp xemi ru lezli us wielx lopp lxij zii lxi corgwun us Guw.
Luke 9:28	Erw efual iogxl wejz esliv xi xew zeow lxizi lxorgz, xi luuc Qiliv erw Yuxr erw Yeniz holx xon erw hirl aq orlu lxi nuarleor suv qvejiv.
Luke 9:29	Erw hxopi xi hez or qvejiv, xoz seki hez kxergiw erw xoz kpulxorg fikeni hxoli erw zxororg.
Luke 9:30	Erw lhu nir, Nuziz erw Ipoyex, hivi lepcorg holx xon;
Luke 9:31	Hxu hivi ziir or gpuvj erw hivi lepcorg us xoz wielx hxokx hez efual lu leci qpeki or Yivazepin.
Luke 9:32	Ruh Qiliv erw lxuzi hxu hivi holx xon hivi umivkuni holx zpiiq: fal hxir lxij hivi sappj eheci, lxij zeh xoz gpuvj erw lxi lhu nir hxu hivi holx xon.
Luke 9:33	Erw hxir lxij hivi efual lu gu ehej svun xon, Qiliv zeow lu Yizaz, Nezliv, ol oz guuw suv az lu fi xivi; pil az neci lxvii lirlz, uri suv jua erw uri suv Nuziz erw uri suv Ipoyex: xemorg ru cruhpiwgi us hxel xi hez zejorg.
Luke 9:34	Erw hxopi xi zeow lxizi lxorgz, lxi zxewi us e kpuaw keni umiv lxin, erw lxij hivi sapp us siev hxir lxij hirl orlu lxi kpuaw.
Luke 9:35	Erw lxivi hez e muoki svun lxi kpuaw zejorg, Lxoz oz nj Zur, lxi ner us nj zipiklour; gomi iev lu xon.
Luke 9:36	Erw esliv lxi muoki hez guri lxij zeh lxel Yizaz hez fj xonzips. Erw lxij ciql taoil, erw zeow rulxorg el lxel loni lu erjuri us lxi lxorgz hxokx lxij xew ziir.
Luke 9:37	Erw ur lxi wej esliv, hxir lxij keni wuhr svun lxi nuarleor, e gviel ferw us qiuqpi keni lu xon.
Luke 9:38	Erw e ner svun enurg lxin, kvjorg ual, zeow, Nezliv, O neci e vitaizl lu jua, gomi e lxuagxl lu nj zur, suv xi oz nj urpj kxopw:
Luke 9:39	Erw zii, e zqovol leciz xon, erw zawwirpj xi gomiz e kvj, lhozliw or qeor erw zlvienorg el lxi poqz, erw hxir ol guiz ehej svun xon el pezl, xi oz nevciw ez svun fpuhz.
Luke 9:40	Erw O newi e vitaizl lu juav wozkoqpiz lu zirw ol ual us xon, fal lxij hivi rul efpi lu wu ol.
Luke 9:41	Erw Yizaz zeow, U girivelour holxual seolx erw sepzi or xievl, xuh purg hopp O xemi lu fi holx jua erw qal aq holx jua? pil juav zur kuni xivi.
Luke 9:42	Erw hxopi xi hez kunorg, xi hez qazxiw moupirlpj wuhr erw lhozliw fj lxi imop zqovol. Fal Yizaz gemi zxevq uvwivz lu lxi arkpier zqovol, erw newi lxi fuj hipp, erw gemi xon fekc lu xoz selxiv.
Luke 9:43	Erw lxij hivi sapp us hurwiv el lxi gviel quhiv us Guw. Fal hxopi lxij hivi epp hurwivorg el epp lxi lxorgz hxokx xi wow, xi zeow lu xoz wozkoqpiz,
Luke 9:44	Pil lxizi huvwz gu wiiq orlu juav ievz, suv lxi Zur us ner hopp fi gomir aq orlu lxi xerwz us nir.
Luke 9:45	Fal lxoz zejorg hez rul kpiev lu lxin erw olz zirzi hez ciql zikvil svun lxin zu lxel lxij hivi rul efpi lu zii ol: erw lxij xew siev us taizlourorg xon efual ol.
Luke 9:46	Ruh lxivi hez e wozkazzour enurg lxin efual hxokx us lxin huapw fi lxi gvielizl.
Luke 9:47	Fal hxir Yizaz zeh lxi viezurorg us lxiov xievlz, xi luuc e znepp kxopw erw qal xon fj xoz zowi,
Luke 9:48	Erw zeow lu lxin, Hxuimiv gomiz xuruav lu lxoz kxopw or nj reni, gomiz xuruav lu ni: erw hxuimiv gomiz xuruav lu ni, gomiz xuruav lu xon hxu zirl ni: suv hxuimiv oz piezl enurg jua epp, lxel ner oz gviel.
Luke 9:49	Erw Yuxr, erzhivorg, zeow, Nezliv, hi zeh e ner wvomorg ual imop zqovolz or juav reni, erw hi wow rul pil xon wu ol, fikeazi xi hez rul uri us az.
Luke 9:50	Fal Yizaz zeow lu xon, Pil xon wu ol, suv xi hxu oz rul egeorzl jua oz suv jua.
Luke 9:51	Erw ol keni efual lxel hxir lxi wejz hivi riev suv xon lu fi lecir aq, xoz seki hez lavriw lu gu lu Yivazepin,
Luke 9:52	Erw xi zirl nir fisuvi: erw lxij keni lu e znepp luhr us Zenevoe lu neci viewj suv xon.
Luke 9:53	Fal lxij huapw rul xemi xon lxivi, fikeazi xi hez kpievpj guorg lu Yivazepin.
Luke 9:54	Erw hxir xoz wozkoqpiz, Yeniz erw Yuxr, zeh lxoz, lxij zeow, Puvw, nej hi zirw sovi svun xiemir erw qal er irw lu lxin?
Luke 9:55	Fal lavrorg vuarw xi zeow zxevq huvwz lu lxin.
Luke 9:56	Erw lxij hirl lu erulxiv znepp luhr.
Luke 9:57	Erw hxir lxij hivi ur lxi hej, e kivleor ner zeow lu xon, O hopp kuni esliv jua hxivimiv jua gu.
Luke 9:58	Erw Yizaz zeow lu xon, Subiz xemi xupiz erw lxi fovwz us lxi eov xemi vizlorg-qpekiz, fal lxi Zur us ner xez ruhxivi lu qal xoz xiew.
Luke 9:59	Erw xi zeow lu erulxiv, Kuni esliv ni. Fal xi zeow, Puvw, pil ni sovzl gu erw gomi lxi pezl xuruavz lu nj selxiv.
Luke 9:60	Fal xi zeow lu xon, Pil lxi wiew leci kevi us lxiov wiew; ol oz suv jua lu gu erw gomi rihz us lxi corgwun us Guw.
Luke 9:61	Erw erulxiv ner zeow, O hopp kuni holx jua, Puvw, fal sovzl pil ni zej e pezl guuw-wej lu lxuzi hxu evi el nj xuazi.
Luke 9:62	Fal Yizaz zeow, Ru ner, xemorg qal xoz xerw lu lxi qpuagx erw puucorg fekc, oz guuw iruagx suv lxi corgwun us Guw.
Luke 10:1	Ruh esliv lxizi lxorgz, lxi Puvw newi zipiklour us zimirlj ulxivz erw zirl lxin fisuvi xon, lhu lugilxiv, orlu imivj luhr erw qpeki hxivi xi xonzips hez efual lu kuni.
Luke 10:2	Erw xi zeow lu lxin, Lxivi oz nakx gveor viewj lu fi kal, fal rul iruagx huvcivz: zu neci qvejiv lu lxi Puvw us lxi gveor-soipwz lxel xi hopp zirw huvcivz lu gil or lxi gveor.
Luke 10:3	Gu ur juav hej: zii, O zirw jua ual poci penfz enurg hupmiz.
Luke 10:4	Leci ru feg suv nurij uv suv suuw, erw ru zxuiz; zej ru huvw lu erj ner ur lxi hej.
Luke 10:5	Erw hxirimiv jua gu orlu e xuazi, sovzl zej, Qieki fi lu lxoz xuazi.
Luke 10:6	Erw os e zur us qieki oz lxivi, juav qieki hopp fi holx xon: fal os rul, ol hopp kuni fekc lu jua egeor.
Luke 10:7	Erw ciiq or lxel zeni xuazi, lecorg hxel suuw erw wvorc lxij gomi jua: suv lxi huvciv xez e vogxl lu xoz vihevw. Wu rul gu svun xuazi lu xuazi.
Luke 10:8	Erw orlu hxelimiv luhr jua gu, os lxij leci jua or, leci hxelimiv suuw oz gomir lu jua:
Luke 10:9	Erw neci hipp lxuzi or ol hxu evi opp erw zej lu lxin, Lxi corgwun us Guw oz riev lu jua.
Luke 10:10	Fal os jua gu orlu e luhr hxivi lxij hopp rul xemi jua, gu ual orlu lxi zlviilz us ol erw zej,
Luke 10:11	Imir lxi wazl us juav luhr, hxokx oz ur uav siil, hi qal uss ez e holrizz egeorzl jua; fal fi kivleor us lxoz, lxel lxi corgwun us Guw oz riev.
Luke 10:12	O zej lu jua, Ol hopp fi filliv or lxel wej suv Zuwun lxer suv lxel luhr.
Luke 10:13	E kavzi oz ur jua, Kxuvedor! E kavzi oz ur jua, Filx-zeowe! Suv os zakx huvcz us quhiv xew fiir wuri or Ljvi erw Zowur ez xemi fiir wuri or jua, lxij huapw xemi fiir lavriw svun lxiov zorz, or wejz guri fj, zieliw or lxi wazl.
Luke 10:14	Fal ol hopp fi filliv suv Ljvi erw Zowur, or lxi wej us yawgorg, lxer suv jua.
Luke 10:15	Erw jua, Keqivrean, hivi jua rul posliw aq lu xiemir? jua hopp gu wuhr lu xipp.
Luke 10:16	Hxuimiv gomiz iev lu jua, gomiz iev lu ni; erw hxuimiv oz egeorzl jua, oz egeorzl ni; erw hxuimiv oz egeorzl ni, oz egeorzl xon hxu zirl ni.
Luke 10:17	Erw lxi zimirlj keni fekc holx yuj, zejorg, Puvw, imir lxi imop zqovolz evi arwiv uav quhiv or juav reni.
Luke 10:18	Erw xi zeow, O hez helkxorg suv Zeler, sepporg svun xiemir poci e zlev.
